ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
USTJ,medium_airport,Tobolsk Remezov Airport,58.059712,68.347997,167,RU,Tobolsk,USTJ,RMZ
USTO,small_airport,Tobolsk Airport,58.135799,68.231903,167,RU,Tobolsk,USTO,TOX
USTR,large_airport,Roshchino International Airport,57.178984,65.327696,378,RU,Tyumen,USTR,TJM
USUU,medium_airport,Kurgan Airport,55.4753,65.415604,240,RU,Kurgan,USUU,KRO
UTAA,large_airport,Ashgabat International Airport,37.986801,58.361,692,TM,Ashgabat,UTAA,ASB
UTAE,small_airport,Kerki Airport,37.822051,65.135279,770,TM,Kerki,UTAE,KEA
UTAK,medium_airport,Turkmenbaşy International Airport,40.062833,53.005085,279,TM,Turkmenbaşy,UTAK,KRW
UTAM,medium_airport,Mary International Airport,37.62353,61.895668,728,TM,Mary,UTAM,MYP
UTAT,large_airport,Dashoguz International Airport,41.759853,59.836149,272,TM,Daşoguz,UTAT,TAZ
UTAV,large_airport,Türkmenabat International Airport,38.930662,63.563982,649,TM,Türkmenabat,UTAV,CRZ
UTDD,large_airport,Dushanbe International Airport,38.543746,68.822977,2575,TJ,Dushanbe,UTDD,DYU
UTDK,large_airport,Kulob International Airport,37.988098,69.805,2293,TJ,Kulob,UTDK,TJU
UTDL,large_airport,Khujand International Airport,40.215401,69.694702,1450,TJ,Khujand,UTDL,LBD
UTDT,large_airport,Bokhtar International Airport,37.866315,68.864475,1473,TJ,Bokhtar,UTDT,KQT
UTFN,large_airport,Namangan International Airport,40.984622,71.5578,1555,UZ,Namangan,UZFN,NMA
UTKA,medium_airport,Andijan International Airport,40.727699,72.293999,1515,UZ,Andijan,UZFA,AZN
UTKF,medium_airport,Fergana International Airport,40.358799,71.745003,1980,UZ,Fergana,UZFF,FEG
UTKK,small_airport,Kokand Airport,40.447781,70.991149,1357,UZ,Kokand,UZKK,OQN
UTNM,small_airport,Muynak Airport,43.753636,59.029884,177,UZ,Muynak,UZNM,MOK
UTNN,large_airport,Nukus International Airport,42.4884,59.623299,246,UZ,Nukus,UZNN,NCU
UTNU,large_airport,Urgench International Airport,41.58274,60.64338,320,UZ,Urgench,UZNU,UGC
UTSA,medium_airport,Navoi International Airport,40.117599,65.172658,1140,UZ,Navoi,UZSA,NVI
UTSB,large_airport,Bukhara International Airport,39.775319,64.482279,751,UZ,Bukhara,UZSB,BHK
UTSH,small_airport,Shahrisabz Airport,39.068003,66.758388,1900,UZ,Shahrisabz,UZSH,
UTSK,small_airport,Karshi Airport,38.802246,65.773068,1230,UZ,Karshi,UZSK,KSQ
UTSL,small_airport,Karshi-Khanabad Air Base,38.833599,65.921501,1365,UZ,Khanabad,UZSL,
UTSM,small_airport,Tandy Bulak Airport,41.76217,64.600304,716,UZ,Tandy Bulak,UZSM,
UTSN,small_airport,Sugraly Airport,41.613795,64.232963,1396,UZ,Zarafshan,UZSN,AFS
UTSR,small_airport,Sariasiya Airport,38.408006,67.94502,1949,UZ,Sariasiya,UZSR,
UTSS,large_airport,Samarkand International Airport,39.701842,66.981467,2224,UZ,Samarkand,UZSS,SKD
UTST,medium_airport,Termez Airport,37.287261,67.311869,1027,UZ,Termez,UZST,TMJ
UTSU,small_airport,Uchkuduk Airport,42.083099,63.449299,416,UZ,Uchkuduk,UZSU,
UTTP,medium_airport,Tashkent-Khumo International Airport,41.312889,69.395535,1574,UZ,Tashkent,UZTP,TVT
UTTT,large_airport,Tashkent International Airport,41.2579,69.281197,1417,UZ,Tashkent,UZTT,TAS
UTTZ,medium_airport,Zomin Airport,40.01402,68.41103,1760,UZ,Zomin,UZTZ,OMN
UUBA,medium_airport,Kostroma Sokerkino Airport,57.796902,41.019402,446,RU,Kostroma,UUBA,KMW
UUBC,medium_airport,Grabtsevo Airport,54.5499992371,36.3666687012,656,RU,Kaluga,UUBC,KLF
UUBI,medium_airport,Ivanovo South Airport,56.93939971923828,40.940799713134766,410,RU,Ivanovo,UUBI,IWA
UUBK,medium_airport,Staroselye Airport,58.104198,38.929401,423,RU,Rybinsk,UUBK,RYB
UUBP,medium_airport,Bryansk International Airport,53.214403,34.175965,663,RU,Bryansk,UUBP,BZK
